Condition,Electrode,ITPC
GN,11,"[0.07885106477904656, 0.030772262958133324, 0.029332762586206224, 0.025630324213686703, 0.03591700604523289, 0.07940543664922745, 0.06342919651282605, 0.0647965612161661, 0.08370674127295634, 0.06334793574209983, 0.03645652855334547, 0.021302928119933083, 0.05081037747423011, 0.03802891659771944, 0.04653682237000668, 0.005460729212907684, 0.011338653874163999, 0.010882149620147791, 0.07748156385841931, 0.16144646710890165, 0.061994519666859975, 0.016594441887006813, 0.004196681855542059, 0.04907960845548016, 0.037848173955559845, 0.031219630044107865, 0.03224577951527408, 0.040371824029552215, 0.009884409035358711, 0.02612545540011987, 0.055038583615224165, 0.11166724019474855, 0.061805479263294126, 0.07932556485671517, 0.05384140398801324, 0.05366831531910082, 0.029024885216680136, 0.04472907239787274, 0.03303580064693495, 0.03856155339899088, 0.04115855428174384, 0.0260800764989888, 0.12526723461463773, 0.22030588135700907, 0.09364919640563504, 0.039670734138558296, 0.03930709204914378, 0.041639827398670615, 0.052089076392273476, 0.08220727732740737, 0.08346704151868518, 0.04923255993007767, 0.039531097562205283, 0.06512013493620203, 0.08013374343351205, 0.05278853234185822, 0.050290227220211633]"
GN,12,"[0.08406358786257033, 0.08932821555948449, 0.022654990827748772, 0.03400012656906954, 0.04491959960300412, 0.05700940729816195, 0.09166768870985369, 0.07116926565877164, 0.01974418942464019, 0.02358089708352411, 0.034740611915699555, 0.06004801746968605, 0.08003570936861562, 0.06627500948816577, 0.08392510478063395, 0.07824039574184684, 0.07724530158803099, 0.03963681920424803, 0.016954212615041465, 0.04382694661318411, 0.05919795315083078, 0.037140030425641776, 0.035512229061045515, 0.019401008710405013, 0.02618826432340618, 0.009807933531020876, 0.029644690464597105, 0.021488411039460944, 0.028406047340929934, 0.01786699321993717, 0.03566240447063285, 0.11387306263004492, 0.08356403540786474, 0.03517321259099486, 0.017331337373957752, 0.09671260613826675, 0.08561168506402991, 0.05533464121775589, 0.07348883001586194, 0.030176547486927992, 0.06961132089547499, 0.0709102396833066, 0.19612555494213416, 0.3000441295187239, 0.19837404669986997, 0.06236299205532433, 0.03541465870139558, 0.01872508398283829, 0.06096721611215914, 0.06294802738050818, 0.060812995749930536, 0.06234901957354949, 0.057795218080202354, 0.027074028984322904, 0.06096948737835974, 0.11158045087370538, 0.07636647572362557]"
GN,13,"[0.026247218754697807, 0.043774082029570414, 0.03803398009712974, 0.047362962492446335, 0.03997078902775968, 0.016056227925880944, 0.03499939683717873, 0.04471347480006823, 0.034577595533526934, 0.00878815364073613, 0.06146295458858702, 0.02750957382482817, 0.052326701672824036, 0.012866040603438341, 0.04261750789266136, 0.08752865599904566, 0.02973333222948936, 0.022283861484854475, 0.05517640511250761, 0.11382908885008067, 0.07228790680594502, 0.058849883252121496, 0.09177981863455488, 0.06339352214684653, 0.05510327170532516, 0.01888715926839578, 0.045628306140081565, 0.04059093815847741, 0.015093029020777459, 0.014852081037958193, 0.055395958708526136, 0.05449075135276008, 0.04107666181177873, 0.021620184783885405, 0.05040334746299321, 0.02708860274544431, 0.02240550220057418, 0.036243234996327166, 0.04090101419559858, 0.05335910646674049, 0.02488832550310462, 0.01918195124739158, 0.1659884637423767, 0.3102509275267597, 0.19307852937631165, 0.06182391312701934, 0.020652326034572382, 0.015096847234390356, 0.0649441694120883, 0.05708118322141891, 0.05325278905698683, 0.04654861280800627, 0.021682683774026906, 0.03347788333008584, 0.032350014883712516, 0.0749104697271755, 0.04181516219483185]"
GN,14,"[0.07379942539878359, 0.09733092964700026, 0.03177681900736643, 0.040683480309777593, 0.01596605148731807, 0.029124587566919435, 0.03591965850149361, 0.08957321734625812, 0.05738195248252349, 0.023126569170953532, 0.03519765271060595, 0.07394731428885991, 0.04406591840854707, 0.02505825320371741, 0.040607799612389396, 0.09348279801378212, 0.04251432036182964, 0.031737476768237426, 0.01518753786960526, 0.034291150606514983, 0.029739662200103368, 0.031181331325128753, 0.08608242612524263, 0.0830580136969865, 0.06774250446945249, 0.04735718071959715, 0.06515873463235773, 0.061526655735594134, 0.020553897489786314, 0.01017644520831911, 0.04688409197227581, 0.07403721193356382, 0.03877144295654433, 0.014159256253774944, 0.07467314274733296, 0.040797504363226676, 0.028360926904629023, 0.018302496293394, 0.019521067936193785, 0.05439573044505287, 0.05032469557550412, 0.0251315125038077, 0.23119986709927248, 0.44212329094043124, 0.28858774603142817, 0.07747893477021613, 0.03145353673352491, 0.05048592899665307, 0.09062248306660917, 0.04614145896608815, 0.030233295208472434, 0.0377746785880801, 0.016640006632893334, 0.021266311442544848, 0.0415385822018119, 0.08779213024999946, 0.048781521373889594]"
GN,15,"[0.07796476963128894, 0.035969923022843665, 0.04414886920094949, 0.040579021873871524, 0.03511171967905701, 0.03158527047595035, 0.08821163938081433, 0.13976604461578462, 0.07056048945607561, 0.008619724577357005, 0.015205191456725517, 0.035264147528537355, 0.07700035136140582, 0.0265687738924741, 0.03714592196882777, 0.0443635695844642, 0.06550119554712253, 0.04204616193508215, 0.08642887104715849, 0.09396206447326148, 0.06546336958569068, 0.023668784123564733, 0.01094416066368608, 0.0609683425773368, 0.022558664070753052, 0.0892923406818126, 0.05323059905216151, 0.05001540841549858, 0.018136155834934924, 0.013138012641689739, 0.06422590788702609, 0.10636182476924148, 0.06746344321706059, 0.050541454787731505, 0.08034068330415675, 0.07556781504446575, 0.03923221244044806, 0.04226519548776765, 0.03374769199910783, 0.0408135123013268, 0.06370783741222905, 0.030445078142212548, 0.16126658408795438, 0.27820935814098396, 0.1797580365523162, 0.06883449102872614, 0.07786383758424559, 0.04664620291043037, 0.10553636510486816, 0.045875952403901264, 0.02390271875071837, 0.028356852189674268, 0.04588026868482144, 0.022281708177867624, 0.0610091554449387, 0.09394356967980647, 0.014843227773787462]"
GN,16,"[0.025078814101689766, 0.06996599006670846, 0.020926021443813447, 0.04387678558495724, 0.026767517900872447, 0.04057818213980911, 0.03585595275784283, 0.04930207686886825, 0.03632744561326651, 0.011791390614597282, 0.05436648736053874, 0.05151097534887759, 0.06375668404150321, 0.06515154929784675, 0.0840581724874972, 0.04271439285526498, 0.05624867129287595, 0.01930084076875496, 0.037364748847106534, 0.03943263349718028, 0.023301523655639724, 0.028675294355571777, 0.07159940248378302, 0.08810326583408876, 0.03445605378383014, 0.023517982024338673, 0.036729252803413416, 0.038506781751066824, 0.04924354197956802, 0.013054920607237534, 0.020033996821457973, 0.05016055973097804, 0.04202515818314569, 0.021644472992413177, 0.021433985202260416, 0.04210338326232271, 0.033615248538847245, 0.04309048644117765, 0.07181094306052119, 0.026966015894373172, 0.024716781939603017, 0.029895570757381366, 0.13258142337669618, 0.26720257310097756, 0.1372613559243753, 0.04841942730793369, 0.012305009722845107, 0.045003195610969306, 0.060659512752274256, 0.05302572495043275, 0.06527407921756267, 0.09581582044967636, 0.04973056706012349, 0.04315471446761977, 0.04667532807578582, 0.09354365205128748, 0.0635836737026488]"
GN,17,"[0.072669269314272, 0.0676494600093832, 0.033644986958326316, 0.00993533772963899, 0.02181028601168472, 0.03601659044868942, 0.12771462176737072, 0.10858614501892583, 0.09057970949233615, 0.05142062226471178, 0.05451478090759528, 0.038279769648931664, 0.04419339508758883, 0.00191912061351394, 0.07416185588907295, 0.08543819924658373, 0.08312122228104135, 0.03761331771118493, 0.08062298692150983, 0.12434653479295459, 0.09339201430134587, 0.07727891544845202, 0.03419445521107774, 0.03835664614447952, 0.007558236280600094, 0.0305242020901359, 0.053008601243143286, 0.07432374594929028, 0.05089356170907315, 0.03365687557286992, 0.05426213020329004, 0.09942873645927594, 0.08757748386010339, 0.04960640004477023, 0.061027693426838475, 0.07474045835328336, 0.05879745306144816, 0.01727907249864643, 0.08703832379496382, 0.031477947555655215, 0.053486839718377185, 0.066215138624651, 0.17195456126554842, 0.2932500171928438, 0.18634049195335428, 0.024620117445271282, 0.04375392393596688, 0.049078680680624334, 0.06603141142677892, 0.03581295401528557, 0.04715210995471335, 0.044737731136234006, 0.03947475295011766, 0.053748216344027815, 0.09006921495578424, 0.10681696412078688, 0.0555151509564248]"
GN,18,"[0.02117249207438269, 0.002710302321166362, 0.009245777287299252, 0.022788739804385377, 0.009298232085671081, 0.04219545752251925, 0.04256638368298771, 0.042186139250233574, 0.05536113693263143, 0.01084436496976066, 0.02816028318662372, 0.007463350813151351, 0.06483938607457183, 0.05711990458982805, 0.04951365696744344, 0.041922843208090754, 0.02537374207698569, 0.03989394163530886, 0.054584176731789655, 0.021990155476246224, 0.03648876283575705, 0.0430475534337722, 0.04327946325144769, 0.055808697079859006, 0.03621507138476112, 0.04462902051086132, 0.062280610719131484, 0.06532635935457083, 0.022504264471118425, 0.019946713364225092, 0.03459494861850887, 0.08490261138420468, 0.05299645518675177, 0.05198025108411407, 0.046279157326865224, 0.043152993780451954, 0.05018708630713982, 0.030857223922929125, 0.051384362069973995, 0.023333851418613476, 0.028462347525605898, 0.029949936941002935, 0.0759852907098055, 0.05514097684686905, 0.0617811568465077, 0.03871736395672332, 0.023048317092650372, 0.019964917147241103, 0.0474670247823579, 0.013338927442107015, 0.03393803998763425, 0.041065651305979334, 0.0536180945528315, 0.014768118958592957, 0.06733535461675039, 0.16755710798657583, 0.05621206938122871]"
GN,19,"[0.02859804301122174, 0.04539810723283028, 0.04736962621395081, 0.047587643536532824, 0.04000477487786403, 0.01284811331810394, 0.03571731395975663, 0.06062473728682586, 0.08307308937151604, 0.039302128126222274, 0.05631051483494529, 0.0716387986951759, 0.018266657902845054, 0.02946559604745005, 0.026520772403325885, 0.07730967591614275, 0.02746106848547496, 0.012916136839968381, 0.026866763652452844, 0.055190710155789434, 0.0069787739548803325, 0.05089238174008309, 0.07347117248018635, 0.07408210816191402, 0.0765194068275879, 0.03883532002551385, 0.04410152744241398, 0.040196936579125486, 0.03309499599383891, 0.03880133136585791, 0.01690359481528898, 0.012581562876378198, 0.03520650452807932, 0.039124301577852544, 0.056220774599701394, 0.08120455355275852, 0.01999131092002825, 0.02147297410266265, 0.016147440453363807, 0.08447896065844362, 0.040180939311872624, 0.028806229702854808, 0.11366146599242706, 0.27473725734537885, 0.184034209900352, 0.02847675052714926, 0.021680893754256917, 0.03619484796459869, 0.07863810097568202, 0.045720648144050524, 0.03194168923523746, 0.03347147039470048, 0.02311459704749016, 0.010991674061075629, 0.039518113109438674, 0.06264195339730513, 0.050571119730865574]"
GN,20,"[0.025218473820023124, 0.018773139324923475, 0.03881058381640084, 0.05160893948199506, 0.013697209307353264, 0.018442037961905054, 0.043549509299507703, 0.10690804132663409, 0.10711926239899247, 0.05829487946635162, 0.031170685182131796, 0.04817051471466922, 0.018607908279248436, 0.030014467423888483, 0.015333575611393539, 0.049569252648022345, 0.05400232516476724, 0.018360666425639265, 0.03268012514446083, 0.03449829776669738, 0.01857569546865475, 0.016116168184526047, 0.05525453670344021, 0.022496760083214926, 0.04182706604396541, 0.04432709963510936, 0.0585580368041901, 0.06182891691189204, 0.023519261121248334, 0.014943338416310866, 0.01854243485119395, 0.024282192957955386, 0.08880419642120299, 0.05454204006786751, 0.06995492852998966, 0.0446013821834241, 0.06361918217590941, 0.021855640672147594, 0.00534449001850762, 0.07082354147506861, 0.06570198070519587, 0.05290464031701837, 0.0997526441238046, 0.2842960143057382, 0.2151950892062905, 0.10541566932480434, 0.030007860045711703, 0.03587650373451788, 0.051467288065049056, 0.03542215314199369, 0.02058566674424852, 0.032470193626164254, 0.03688517381581798, 0.0062427050865022145, 0.02150871500634095, 0.0674289249269872, 0.026773694266759976]"
GN,21,"[0.033140605617740626, 0.043122912287242715, 0.029099391085627004, 0.06049224120384763, 0.04355107835400615, 0.04799637242809598, 0.017955828433777358, 0.08591194941566989, 0.05326921298001579, 0.022909934715546556, 0.015273708034268247, 0.013776263353962835, 0.021083392514431733, 0.003531186485914737, 0.03180747081547776, 0.044533287940004655, 0.041748445778991575, 0.06652178201784142, 0.015727150399273467, 0.06060099625578684, 0.021291596470049124, 0.05781775987478577, 0.0353548925688458, 0.066589217712963, 0.027366742142137787, 0.0358058351123419, 0.038038066471743494, 0.03504229279523966, 0.02173174227244244, 0.030509962598636593, 0.03807434904638446, 0.015094302971802824, 0.05363682670412435, 0.046631128529318784, 0.06924754856982449, 0.026152770552360018, 0.02502765131960749, 0.03279480450329921, 0.06143959661915856, 0.04547746902056578, 0.029648302658665596, 0.046251219677895854, 0.045581450999961415, 0.07494393296455276, 0.04820095770143698, 0.07361635265971567, 0.011596036639995264, 0.024549248265818894, 0.010565762350529884, 0.03246201896292019, 0.07885773954228907, 0.05050678690173213, 0.046200010931822036, 0.0124992249668093, 0.012734248989635778, 0.0538368299833432, 0.053634216845550656]"
GN,22,"[0.04160239591571206, 0.06807445689536443, 0.03359559148909241, 0.06456385045572553, 0.029183917782344686, 0.0439326998566404, 0.09253092794359172, 0.07510627848788799, 0.0165681001306846, 0.050359762932703556, 0.08775864889811934, 0.09398916700085252, 0.005692622854021893, 0.02968207676574896, 0.072138425444573, 0.060155290630258935, 0.06446144589824274, 0.06990782737954104, 0.05601431700591277, 0.0921008890536461, 0.0862607895419121, 0.060311544756924226, 0.050473418462450924, 0.07112762839344289, 0.0395512093369425, 0.01039445517930473, 0.022485147529941404, 0.03881447621303672, 0.05461523927653235, 0.035471101944780335, 0.011600619685114564, 0.03186841920010686, 0.022786520304736064, 0.06805541302752385, 0.04135281709214464, 0.03410658934013228, 0.010045654127543442, 0.05048235118962138, 0.07596184889221927, 0.028763118977283866, 0.038923443419579415, 0.0317400690815711, 0.16862271209602628, 0.2986282052809575, 0.16602198139421595, 0.04652420691673084, 0.06592521379992643, 0.049302731135202664, 0.03310472158910551, 0.025259187586198103, 0.06473930958203192, 0.0480080312561645, 0.033627780234928885, 0.037050217948438276, 0.02806476940820883, 0.09308563128806989, 0.05545950539505175]"
GN,23,"[0.04426657801840006, 0.04678140552239926, 0.04572290931122337, 0.01730666532922531, 0.0035412673627520683, 0.0514006940653076, 0.1324248288480667, 0.0990853489203492, 0.08131405923064312, 0.06014325447090741, 0.060631652414197074, 0.03468872769264878, 0.046303267452192175, 0.037939575388700374, 0.025461563628378158, 0.021232571825714055, 0.03863843958711794, 0.04890705916535488, 0.0904616944082478, 0.1080747612746986, 0.09031338933908434, 0.04329346107847718, 0.024800325140648727, 0.025769307027145666, 0.03541386782093749, 0.031146469436707017, 0.05799198859373781, 0.05326417090979914, 0.035051572969448025, 0.027001454115979238, 0.0740059439841582, 0.051282651847305086, 0.04921037485539908, 0.06540096451671819, 0.051493901959380015, 0.05283330933409457, 0.03112204057715389, 0.04162482680469878, 0.05048113994564412, 0.015610676946501702, 0.03833802107432298, 0.049026829779408934, 0.12785210985559994, 0.17267440853036828, 0.09854989472247878, 0.008136294693938992, 0.01053224875349091, 0.04530474325542438, 0.041498592649680546, 0.024200142561855677, 0.03586737306255414, 0.007648708152955176, 0.02240137626695614, 0.03657201131536067, 0.07712613982073724, 0.1384468402444199, 0.04436938426542361]"
GN,24,"[0.03068290227293898, 0.0045270156470662735, 0.014322371782129445, 0.04247008441174532, 0.052195304969181275, 0.027014663326516457, 0.040444710166802206, 0.07877531510345694, 0.11988827539412901, 0.04838265377453659, 0.06595552344086347, 0.0353704033669646, 0.04532548787046474, 0.012123930817599049, 0.033915476519868634, 0.0017962463000619204, 0.026380615532927264, 0.012266332023246172, 0.04306828312768882, 0.05761879195442329, 0.04851486041159504, 0.015638575096799223, 0.04561155045850681, 0.04077857899140243, 0.07298742224627462, 0.05344727005946223, 0.07344351470354904, 0.05792574110463954, 0.02438214816794827, 0.04887401664268702, 0.07749223838638278, 0.04349978489729857, 0.0571282882461927, 0.04445007882335743, 0.037651473814624324, 0.07189962163488262, 0.07301891872208648, 0.03281123527135236, 0.024582117078993333, 0.058876186680571964, 0.006127141952726372, 0.03027266032336816, 0.028081771198015082, 0.13497263889602995, 0.07775402891102688, 0.016230334893098868, 0.04626912022082875, 0.037525405786280996, 0.04114164168273247, 0.024982693373294233, 0.017565645962894696, 0.04323309420095834, 0.01973730006675832, 0.01896387122789904, 0.04107629870895374, 0.07927972444218925, 0.018508051947498768]"
